Included in VUE,Tag model,Serial No. ,ID Code,Detecciones,VUE Tag ID,Tag life (days),Species,Length,Zone,Capture Lat,Latitude,Longitude,Capture Long,Location name,Capture date,Recapture date,Hour ini,Hour end,Release Lat,Release Long,Fishing type,External tag colour,External tag ID,Observation,PROBLEMS
,V13P,1356083,16200,,A69-9007-16200,446,Dentex dentex,58,Cap de Creus,"4,223,963",,,"324,614",Norfeu,20210810,,13:30,13:50,"4,223,963","324,614",,Vermell,198,Pescadors voluntaris contacte Miquel,
,V13P,1356084,16201,,A69-9007-16201,446,,,,,,,,,,,,,,,,,,,
,V13P,1356085,16202,,A69-9007-16202,446,Diplodus cervinus,52,Banyuls,"4,247,860",,,"315,207",Abeille sud,20210531,,23:50,00:00,"4,247,860","315,207",diving,nada,,,
,V13P,1356086,16203,,A69-9007-16203,446,,,,,,,,,,,,,,,,,,,
Si,V13,1352731,40162,19000,A69-1602-40162,585,Dicentrarchus labrax,49,Badia de roses,4220000,42.20000,3.11698,311698,Desenbocadura Fluvià,20201103,,10:45,12:10,"4,220,000","311,698",Palangre,vermell,25,Marc Castells,
Si,V13P,1356088,16205,,A69-9007-16205,446,Seriola dumerili ,85,Medes,"4,205,059",,,"322,001",GPS 19 - Entre Medallot i Salpatxot,20201222,,10:00,10:30,"4,205,059","322,001",Canya,Vermell,32,Iscle,
si,V13P,1356089,16206,,A69-9007-16206,446,Sphyraena viridensis,79,Medes,"4,205,220",,,"320,637",port,20203012,,08:00,09:00,"4,205,220","320,637",Canya,Vermell,49,Iscle,
,V13P,1356090,16207,,A69-9007-16207,446,Dentex dentex,71,Cap de Creus,"4,223,963",,,"324,614",Norfeu,20210810,,14:20,14:45,"4,223,963","324,614",,Vermell,199,Pescadors voluntaris contacte Miquel,
,V13P,1356091,16208,,A69-9007-16208,446,,,,,,,,,,,,,,,,,,,
Si,V13P,1356092,16209,,A69-9007-16209,446,Spondyliosoma cantharus,35,Cap de Creus,"4,232,472",,,"332,066",Encalladora,20201006,,18:40,18:45,"4,232,472","332,066",Canya,Vermell,55,Pescada per Bernat Molina,
